"citation_key","ENTRYTYPE","colrev_status","author","title","year","type","journal","doi"
"000001","article","no_status","Vetter, Cecelia J.","Systematic Search: Prehospital Lung Ultrasound (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00531"
"000002","article","no_status","Vetter, Cecelia J.","Systematic Search: Prehospital Lung Ultrasound (Cochrane Library).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00530"
"000003","article","no_status","Vetter, Cecelia J.","Systematic Search: Prehospital Lung Ultrasound (MEDLINE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00532"
"000004","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (CAB Abstracts).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00520"
"000005","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Scopus).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00521"
"000006","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Web of Science Core Collection).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00522"
"000007","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Academic Search Complete).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00523"
"000008","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Chalmers, Darlene and Doi, Carolyn and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00524"
"000009","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Criminal Justice Abstracts).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00525"
"000010","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (EMBASE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00526"
